UASG;Número do Pregão;Ano do Pregão;Número do Item;QUANTIDADE
160224;00009;2023;00005;1
160224;00009;2023;00008;2
784810;00008;2023;00008;1
160167;00007;2023;00019;500
160113;00007;2023;00016;2
160192;00006;2023;00071;10
160192;00006;2023;00128;4
160165;00002;2023;00054;15
160224;00005;2023;00005;3
160224;00005;2023;00002;3
160224;00005;2023;00004;15
160224;00005;2023;00001;3
160192;00006;2023;00021;13
160224;00005;2023;00003;15
160224;00005;2023;00012;2
160217;00001;2023;00022;150
160217;00001;2023;00035;10
160217;00001;2023;00055;60
160224;90001;2024;00005;3
160224;90001;2024;00011;22
160224;00002;2023;00003;2
160192;00006;2023;00119;6
160192;00006;2023;00097;2
160192;90002;2024;00005;1
160192;90002;2024;00015;290
160192;00008;2023;00202;300
160211;00003;2023;00037;17
160224;00002;2023;00001;2
160224;00002;2023;00002;1
160224;00005;2023;00011;6
160224;00002;2023;00020;5
160224;90001;2024;00009;6
160191;00001;2023;00024;2
160192;00006;2023;00149;100
160234;00019;2023;00043;150
160224;00009;2023;00002;1
160224;00002;2017;00001;1.6875
160224;00009;2023;00002;2
160224;00002;2017;00001;0.01875
160192;00013;2023;00097;10
160192;00013;2023;00130;5
160192;00013;2023;00058;30
160192;00013;2023;00087;5
160192;00013;2023;00149;5
160192;00013;2023;00149;-5
160192;00013;2023;00150;2
160192;00013;2023;00150;-2
160192;00013;2023;00129;2
160192;00013;2023;00131;5
160192;00013;2023;00132;5
160192;00013;2023;00135;40
160192;00013;2023;00133;3
160224;00010;2023;00003;10
160224;00010;2023;00004;10
160224;00010;2023;00014;10
160224;00010;2023;00015;10
160224;00010;2023;00019;10
160224;00010;2023;00020;10
160224;00010;2023;00021;10
160224;00010;2023;00023;10
160224;00010;2023;00024;10
160224;00010;2023;00025;10
160224;00010;2023;00026;10
160224;00010;2023;00029;10
160224;00010;2023;00030;10
160224;00010;2023;00031;10
160224;00010;2023;00032;10
160224;00010;2023;00033;10
160224;00010;2023;00066;10
160224;00010;2023;00069;10
160224;00010;2023;00070;10
160224;00010;2023;00071;10
160224;00010;2023;00072;10
160224;00010;2023;00075;10
160224;00010;2023;00017;10
160224;00010;2023;00022;10
160224;00010;2023;00027;10
160224;00010;2023;00034;10
160224;00010;2023;00035;10
160224;00010;2023;00036;10
160224;00010;2023;00037;10
160224;00010;2023;00038;10
160224;00010;2023;00040;10
160224;00010;2023;00041;10
160192;00008;2023;00202;100
160212;00009;2023;00001;40000
160224;00010;2023;00001;15
160224;00010;2023;00048;100
160224;00010;2023;00049;200
160224;00010;2023;00047;20
160224;00010;2023;00051;60
160224;00010;2023;00052;100
160224;00010;2023;00060;100
160224;00010;2023;00083;50
160224;00010;2023;00091;50
160224;00010;2023;00096;10
160211;00003;2023;00038;30
160224;00010;2023;00006;10
160224;00010;2023;00010;10
160224;00010;2023;00011;10
160224;00010;2023;00012;10
160224;00010;2023;00013;10
160209;00016;2023;00209;15
160077;00003;2023;00004;3
160224;00008;2023;00001;9
160165;00002;2023;00033;1
160165;00002;2023;00063;5
160192;90002;2024;00018;203
160209;00016;2023;00079;50
160403;00001;2023;00014;120
160224;00008;2023;00005;300
160224;00008;2023;00002;20
160224;00008;2023;00003;20
160002;00011;2023;00149;6
160002;00011;2023;00155;4
160165;00002;2023;00052;10
160165;00002;2023;00104;602
160165;00002;2023;00120;4
160165;00002;2023;00118;501
160224;90006;2024;00001;2
160211;00003;2023;00058;2
160224;00011;2023;00023;2
160224;00011;2023;00027;5
160212;00009;2023;00002;30000
158145;00002;2023;00072;22
160192;00013;2023;00109;1
120636;00013;2023;00062;1
153031;00170;2023;00003;100
160165;00002;2023;00008;6
160204;00036;2022;00136;1
160211;00001;2024;00001;498
160224;00003;2023;00001;100
160224;00003;2023;00003;40
160224;00003;2023;00004;15
160224;00003;2023;00007;50
160224;00003;2023;00015;100
160224;00003;2023;00018;20
160223;00008;2023;00018;1
160223;00008;2023;00018;-1
160224;90001;2024;00001;2
160224;00003;2023;00009;100
160224;00003;2023;00010;1000
160224;00003;2023;00011;1000
160224;00003;2023;00024;20
160224;90001;2024;00014;2
160224;00003;2023;00014;1000
160224;00003;2023;00028;1
160224;00011;2023;00024;3
160224;00003;2023;00022;15
160224;00003;2023;00019;20
160224;00003;2023;00020;20
160224;90001;2024;00012;500
160455;00001;2023;00041;40
